time,open,high,low,close
1736604000,94376.2,94616.19,94285.52,94598.02
1736607600,94599.09,94624.55,94358.24,94392.1
1736611200,94391.82,94690.45,94300.09,94428.23
1736614800,94428.23,94428.76,93975.21,94131.44
1736618400,94130.55,94284.21,94099.15,94255.14
1736622000,94255.14,94309.54,94069.95,94224.75
1736625600,94224.75,94647.63,94177.31,94569.06
1736629200,94568.2,94999.2,94552.99,94919.15
1736632800,94919.15,94971.68,94542.54,94573.84
1736636400,94575.1,94734.26,94524.11,94583.97
1736640000,94583.96,94624.12,94390.56,94418.31
1736643600,94418.35,94552.57,94266.75,94544.13
1736647200,94544.13,94634.81,94445.7,94589.46
1736650800,94589.45,94661.92,94386.33,94585.12
1736654400,94584.72,94616.14,94465.12,94551.32
1736658000,94551.32,94594.41,94465.88,94535.53
1736661600,94535.47,94580.75,94329.37,94345.69
1736665200,94345.69,94407.81,94244.22,94289.59
1736668800,94289.59,94358.92,94075.35,94127.53
1736672400,94126.96,94187.97,93680.06,93870.42
1736676000,93870.43,94018.26,93801.73,93977.67
1736679600,93977.67,94313.56,93976.08,94223.11
1736683200,94222.93,94561.35,94138.29,94294.47
1736686800,94294.04,94687.99,94266.59,94628.69
1736690400,94628.68,94945.87,94628.68,94771.36
1736694000,94771.33,95395.73,94649.64,95036.3
1736697600,95036.83,95093.93,94766.17,95012.09
1736701200,95011.44,95232.16,94945.24,95119.19
1736704800,95118.84,95274.31,94877.48,94960.15
1736708400,94960.06,95022.41,94545.68,94614.74
1736712000,94614.74,94765.71,94578.95,94652.68
1736715600,94653.38,94691.72,94268.7,94324.01
1736719200,94323.42,94327.13,93766.88,93921
1736722800,93921,94527.49,93921,94506.34
1736726400,94506.05,95868.62,94411.15,95276.09
1736730000,95276.89,95342.39,94056.31,94173.86
1736733600,94173.86,94449.45,93863.71,94164.17
1736737200,94164.17,94359.32,93930.51,94219.25
1736740800,94219.24,94859.15,94153.16,94454.09
1736744400,94454.09,94487.81,94011.89,94125.28
1736748000,94125.28,94275.23,93238.2,93580.97
1736751600,93580.97,93878.43,93431.92,93536.82
1736755200,93536.88,93601.33,92865.23,92991.96
1736758800,92991.18,93139.43,92607.62,92805.33
1736762400,92805.33,92836.02,91332.63,91591.38
1736766000,91591.97,91717.03,90800.82,90807.14
1736769600,90807.14,91284.53,90260.17,90697.55
1736773200,90698.76,91724.03,90544.4,91082.46
1736776800,91088.18,92226.41,89294.09,91762.88
1736780400,91762.88,93042.5,91541.28,92094.45
1736784000,92094.45,92233.56,91215.37,91296.93
1736787600,91296.83,92246.75,91204.72,91933.01
1736791200,91933.02,92352.35,91549.74,92032.42
1736794800,92033.02,92478.24,91560.98,92256.9
1736798400,92256.4,93725.64,91862.5,93527.43
1736802000,93527.87,94411.02,93359.43,94144
1736805600,94142.95,94668.49,94100.73,94349.01
1736809200,94348.26,94561.78,94140.97,94486.53
1736812800,94486.64,94825.8,94315.48,94435.75
1736816400,94435.75,94991.39,94428.79,94797.87
1736820000,94797.87,95237.25,94714.51,94851.26
1736823600,94851.26,95073.42,94788.83,94822.53
1736827200,94822.53,95110.57,94792.41,95082.92
1736830800,95082.92,95424.3,94852.56,94880.68
1736834400,94880.32,94986.26,94719.18,94985.82
1736838000,94983.43,95126.92,94808.1,94824.07
1736841600,94824.06,95762.54,94823.84,95456.6
1736845200,95453.95,97329.12,95429.37,97120.48
1736848800,97121.48,97145.39,96545.31,96632.89
1736852400,96633.43,96645.99,96309.57,96507.62
1736856000,96507.62,96656.81,95952.15,95952.87
1736859600,95953.31,97198.4,95736.59,96291.69
1736863200,96292.83,97207.15,96003.16,96248.01
1736866800,96248.01,96931.99,96154.48,96431.7
1736870400,96431.71,96431.86,95322.33,95704.93
1736874000,95704.93,96499.57,95544.66,96488.23
1736877600,96488.62,96917.81,96253.8,96735.71
1736881200,96735.86,97049.13,96431.26,96505.43
1736884800,96504.77,96879.84,96119.1,96464.19
1736888400,96464.49,96635.74,96278.53,96440.92
1736892000,96440.88,96698.49,96408.94,96654.04
1736895600,96655.13,96738.51,96461.87,96522.21
1736899200,96522.21,97285.52,96469.07,96857.64
1736902800,96857.64,97492.65,96763.65,97317.61
1736906400,97317.61,97413.72,96722.09,96797.24
1736910000,96797.24,97291.76,96719.41,97283.1
1736913600,97283.1,97673.1,97041.02,97156.51
1736917200,97156.51,97207.66,96720.16,96996.56
1736920800,96997.83,97112.29,96821.61,97071.48
1736924400,97071.48,97560.65,97071.48,97267.07
1736928000,97267.95,97492.83,97122.97,97176.14
1736931600,97176.14,97328.76,96745.17,96798.28
1736935200,96798.28,97104.27,96714.35,96898.22
1736938800,96898.07,96908.45,96506.43,96728.93
1736942400,96728.93,97154.97,96508.04,96915.02
1736946000,96915.66,98998.71,96822.21,98927.29
1736949600,98927.18,99462.9,98587.51,99400.17
1736953200,99400.17,99736.23,98944.16,98953.85
1736956800,98953.18,99443.59,98863.66,98962.28
1736960400,98962.27,99296.46,98582.09,98608.8
1736964000,98609.06,99417.71,98608.8,99411.39
1736967600,99411.38,99897.85,99270.83,99806.22
1736971200,99806.31,100640.74,99434.04,99551.21
1736974800,99551.09,99827.07,99451.45,99643.34
1736978400,99643.34,99802.06,99534.23,99682.31
1736982000,99682.29,100470.48,99603.69,100462.6
1736985600,100464.91,100863.26,99671.19,99878.9
1736989200,99878.46,100207.73,99822.17,100087.73
1736992800,100087.73,100119.43,99479.64,99642.09
1736996400,99642.34,99850.8,99197.62,99481.47
1737000000,99481.46,99700.58,99480.1,99616.93
