date,open,high,low,close
2024-05-09 20:00:00+00:00,62432.49,62623.21,62328.11,62596.47
2024-05-09 21:00:00+00:00,62596.47,62792.7,62403.4,62515.84
2024-05-09 22:00:00+00:00,62515.84,63390.34,62468.33,63256.95
2024-05-09 23:00:00+00:00,63254.89,63299.6,62838.86,63047.21
2024-05-10 00:00:00+00:00,63047.2,63084.2,62740.32,62831.28
2024-05-10 01:00:00+00:00,62831.28,62954.52,62661.64,62872.7
2024-05-10 02:00:00+00:00,62872.7,63025.15,62764.38,62897.47
2024-05-10 03:00:00+00:00,62897.75,62921.81,62787.86,62905.92
2024-05-10 04:00:00+00:00,62905.92,62995.13,62791.78,62921.74
2024-05-10 05:00:00+00:00,62921.74,62964.29,62663.71,62753.59
2024-05-10 06:00:00+00:00,62754.13,63214.17,62738.21,63152.9
2024-05-10 07:00:00+00:00,63152.9,63363.35,62989.57,63069.9
2024-05-10 08:00:00+00:00,63069.9,63125.74,62843.92,63029.41
2024-05-10 09:00:00+00:00,63029.41,63194.2,62848.31,63118.74
2024-05-10 10:00:00+00:00,63118.75,63127.7,62851.98,63016.69
2024-05-10 11:00:00+00:00,63016.47,63303.77,62803.18,63287.9
2024-05-10 12:00:00+00:00,63287.91,63451.11,62940.37,62999.57
2024-05-10 13:00:00+00:00,62999.58,63095.94,62807.96,62993.37
2024-05-10 14:00:00+00:00,62993.37,63074.13,60716.85,61059.72
2024-05-10 15:00:00+00:00,61061.18,61305.88,60699.66,60922.17
2024-05-10 16:00:00+00:00,60920.11,61277.3,60315.17,61069.58
2024-05-10 17:00:00+00:00,61069.35,61069.35,60207.13,60386.37
2024-05-10 18:00:00+00:00,60386.82,60754.52,60218.46,60711.06
2024-05-10 19:00:00+00:00,60711.09,60874.76,60536.49,60695.11
2024-05-10 20:00:00+00:00,60695.24,60951.02,60459.18,60514.12
2024-05-10 21:00:00+00:00,60514.12,60769.27,60461.02,60704.12
2024-05-10 22:00:00+00:00,60704.13,60920.44,60632.35,60850.95
2024-05-10 23:00:00+00:00,60853.29,60995.4,60780.01,60791.81
2024-05-11 00:00:00+00:00,60791.81,60918.01,60642.23,60767.99
2024-05-11 01:00:00+00:00,60767.93,61081.22,60754.76,60863.38
2024-05-11 02:00:00+00:00,60863.38,60959.45,60741.17,60881.12
2024-05-11 03:00:00+00:00,60881.44,60904.88,60704.77,60718.9
2024-05-11 04:00:00+00:00,60718.9,60865.63,60705.78,60756.24
2024-05-11 05:00:00+00:00,60756.68,60922.53,60755.45,60909.91
2024-05-11 06:00:00+00:00,60909.64,61066.18,60889.15,60940.81
2024-05-11 07:00:00+00:00,60940.81,61005.22,60850.94,61005.14
2024-05-11 08:00:00+00:00,61005.14,61046.95,60768.46,60778.32
2024-05-11 09:00:00+00:00,60778.32,60890.89,60670.23,60890.15
2024-05-11 10:00:00+00:00,60890.15,60890.36,60678.87,60731.98
2024-05-11 11:00:00+00:00,60731.98,60775.54,60480.46,60671.3
2024-05-11 12:00:00+00:00,60670.65,60804.24,60629.89,60696.68
2024-05-11 13:00:00+00:00,60696.68,60966.83,60653.54,60957.93
2024-05-11 14:00:00+00:00,60958.06,60986.79,60770.67,60826.62
2024-05-11 15:00:00+00:00,60826.62,61475.35,60826.62,61160.83
2024-05-11 16:00:00+00:00,61160.83,61392.18,61083.2,61174.39
2024-05-11 17:00:00+00:00,61174.86,61236.84,61002.67,61085.91
2024-05-11 18:00:00+00:00,61085.23,61284.32,61004.42,61203.22
2024-05-11 19:00:00+00:00,61203.22,61205.95,61046.65,61130.26
2024-05-11 20:00:00+00:00,61130.26,61140.25,60792.34,61002.99
2024-05-11 21:00:00+00:00,61002.99,61003.17,60827.37,60907.06
2024-05-11 22:00:00+00:00,60907.06,60979.66,60884.9,60898.26
2024-05-11 23:00:00+00:00,60898.45,60971.63,60756.63,60814.29
2024-05-12 00:00:00+00:00,60814.29,61086.6,60788.71,60961.8
2024-05-12 01:00:00+00:00,60961.71,61063.73,60848.88,60852.04
2024-05-12 02:00:00+00:00,60852.04,60963.59,60817.93,60914.1
2024-05-12 03:00:00+00:00,60914.18,60954.98,60847.57,60914.75
2024-05-12 04:00:00+00:00,60914.39,61102.98,60902.88,61083.83
2024-05-12 05:00:00+00:00,61084.05,61084.05,60962.28,61032.81
2024-05-12 06:00:00+00:00,61032.82,61046.39,60928.13,60930.13
2024-05-12 07:00:00+00:00,60930.13,60980.72,60610.15,60790.97
2024-05-12 08:00:00+00:00,60788.47,61090.49,60773.05,61030.09
2024-05-12 09:00:00+00:00,61030.09,61065.56,60943.88,60982.81
2024-05-12 10:00:00+00:00,60982.83,61346.04,60934.14,61145.82
2024-05-12 11:00:00+00:00,61145.82,61217.69,61094.58,61129.51
2024-05-12 12:00:00+00:00,61129.51,61219.0,61073.11,61138.48
2024-05-12 13:00:00+00:00,61138.48,61226.68,61080.77,61177.12
2024-05-12 14:00:00+00:00,61177.12,61293.14,61111.84,61153.22
2024-05-12 15:00:00+00:00,61153.56,61525.22,61130.66,61394.55
2024-05-12 16:00:00+00:00,61393.77,61842.47,61335.39,61335.54
2024-05-12 17:00:00+00:00,61335.54,61656.69,61176.73,61608.95
2024-05-12 18:00:00+00:00,61608.86,61632.28,61339.78,61359.31
2024-05-12 19:00:00+00:00,61359.31,61425.34,61205.79,61388.89
2024-05-12 20:00:00+00:00,61388.09,61412.02,61267.58,61276.97
2024-05-12 21:00:00+00:00,61276.63,61293.04,60910.02,61219.25
2024-05-12 22:00:00+00:00,61219.25,61398.7,61188.71,61310.81
2024-05-12 23:00:00+00:00,61311.25,61531.29,61262.91,61464.48
2024-05-13 00:00:00+00:00,61463.73,61769.65,61451.58,61482.61
2024-05-13 01:00:00+00:00,61482.95,61514.08,61153.5,61385.79
2024-05-13 02:00:00+00:00,61385.79,61465.85,60927.94,61015.47
2024-05-13 03:00:00+00:00,61015.47,61158.61,60738.23,61137.72
2024-05-13 04:00:00+00:00,61137.7,61137.92,60870.01,60944.1
2024-05-13 05:00:00+00:00,60944.6,60986.9,60780.24,60832.01
2024-05-13 06:00:00+00:00,60832.01,61524.56,60775.43,61476.87
2024-05-13 07:00:00+00:00,61477.4,62407.19,61442.77,62305.34
2024-05-13 08:00:00+00:00,62305.34,63011.53,62304.37,62737.4
2024-05-13 09:00:00+00:00,62737.52,63243.44,62737.52,63041.42
2024-05-13 10:00:00+00:00,63041.04,63057.45,62353.79,62645.68
2024-05-13 11:00:00+00:00,62645.68,62723.95,62463.26,62707.24
2024-05-13 12:00:00+00:00,62707.24,62877.02,62402.87,62813.5
2024-05-13 13:00:00+00:00,62813.5,63010.97,62577.97,62747.8
2024-05-13 14:00:00+00:00,62748.07,63069.75,62700.55,62728.02
2024-05-13 15:00:00+00:00,62727.75,63165.31,62686.38,62975.14
2024-05-13 16:00:00+00:00,62975.22,63415.76,62900.57,63150.82
2024-05-13 17:00:00+00:00,63150.45,63154.3,62598.97,62780.07
2024-05-13 18:00:00+00:00,62780.07,62796.76,62552.26,62756.1
2024-05-13 19:00:00+00:00,62755.47,63156.44,62755.47,63152.28
2024-05-13 20:00:00+00:00,63150.96,63159.88,62966.19,63061.29
2024-05-13 21:00:00+00:00,63061.29,63087.88,62807.89,62869.57
2024-05-13 22:00:00+00:00,62869.57,62920.32,62689.77,62739.54
2024-05-13 23:00:00+00:00,62739.54,62949.16,62693.49,62909.72
2024-05-14 00:00:00+00:00,62909.72,63096.43,62710.56,62801.13
2024-05-14 01:00:00+00:00,62801.13,63002.93,62571.57,62643.96
2024-05-14 02:00:00+00:00,62643.96,62693.64,62497.57,62528.19
2024-05-14 03:00:00+00:00,62528.19,62677.46,62390.12,62474.65
2024-05-14 04:00:00+00:00,62474.65,62652.41,62386.54,62533.95
2024-05-14 05:00:00+00:00,62533.95,62751.78,62473.9,62702.03
2024-05-14 06:00:00+00:00,62701.19,62702.03,61408.05,62027.37
2024-05-14 07:00:00+00:00,62027.37,62100.3,61824.13,62016.6
2024-05-14 08:00:00+00:00,62016.59,62020.85,61691.05,61847.13
2024-05-14 09:00:00+00:00,61847.13,61941.15,61741.56,61783.05
2024-05-14 10:00:00+00:00,61783.32,61807.88,61512.53,61705.08
2024-05-14 11:00:00+00:00,61705.08,61875.04,61682.79,61784.87
2024-05-14 12:00:00+00:00,61784.88,62087.13,61285.6,61556.44
2024-05-14 13:00:00+00:00,61556.44,62031.84,61441.88,61680.56
2024-05-14 14:00:00+00:00,61680.56,62273.54,61133.86,61785.06
